dataset_id,cell,object_id,object_bank_status,execution_status,reason_code,reason,n_curves,n_points,successful_groups,coordinate_native,coordinate_analysis,coordinate_transform,coordinate_unit
NVAL_MATHEW,17,NVAL_MATHEW.TRAJ_E,ADAPTED,valid,,1 group(s); unwrapped rotation remains primary and model features use a uniform-phase baseline contrast,2.0,49.0,1,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,17,NVAL_ZAMORANO.SEQ_POS,CONDITIONAL,conditional_fail,INSUFFICIENT_PHASE_ENSEMBLE,AtlasStructuralFail: need >=2 comparable phase-bearing curves,2.0,5.0,0,measurement_position_index,measurement_position_index,identity,index
P001,19,P001.TRAJ_E,SUPPORT,valid,,1 group(s); unstable groups retained but excluded from model,2.0,46.0,1,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,19,N001.TRAJ_DEPTH,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,19,N002.TRAJ_DEPTH,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,19,P002.SEQ_TVL,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,19,P003.TRAJ_BUILD,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
C001,19,C001.SEQ_LINES,SUPPORT,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,19,PN001.TRAJ_YIELD,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,19,P004.SEQ_MAT,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,19,N004.TRAJ_E,SUPPORT,valid,,1 group(s); unstable groups retained but excluded from model,6.0,9122.0,1,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,19,E001.TRAJ_E,SUPPORT,valid,,3 group(s); unstable groups retained but excluded from model,4.0,81.0,3,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,19,PN002.TRAJ_RXN,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,19,P005_SIM.TRAJ_SPEC,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
PN003,19,PN003.TRAJ_EXFOR,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,19,PVAL_6MV.TRAJ_PDD,SUPPORT,valid,,1 group(s); unstable groups retained but excluded from model,1.0,70.0,1,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,19,PVAL_10MV.TRAJ_PDD,SUPPORT,valid,,1 group(s); unstable groups retained but excluded from model,1.0,71.0,1,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,19,PVAL_15MV.TRAJ_PDD,SUPPORT,valid,,1 group(s); unstable groups retained but excluded from model,1.0,70.0,1,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,19,PVAL_16MV.TRAJ_PDD,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,19,PVAL_18MV.TRAJ_PDD,SUPPORT,valid,,1 group(s); unstable groups retained but excluded from model,1.0,81.0,1,water_depth_cm,water_depth_cm,identity,cm
NVAL_MATHEW,19,NVAL_MATHEW.TRAJ_E,SUPPORT,valid,,1 group(s); unstable groups retained but excluded from model,2.0,49.0,1,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,19,NVAL_ZAMORANO.SEQ_POS,SUPPORT,conditional_fail,NO_PHASE_DISTRIBUTION,AtlasStructuralFail: no phase-bearing curve with >=32 points,2.0,5.0,0,measurement_position_index,measurement_position_index,identity,index
P001,21,P001.TRAJ_E,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,2.0,46.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,21,N001.TRAJ_DEPTH,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,21,N002.TRAJ_DEPTH,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,21,P002.SEQ_TVL,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,21,P003.TRAJ_BUILD,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
C001,21,C001.SEQ_LINES,SUPPORT,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,21,PN001.TRAJ_YIELD,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,21,P004.SEQ_MAT,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,21,N004.TRAJ_E,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,6.0,9122.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,21,E001.TRAJ_E,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,4.0,81.0,0,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,21,PN002.TRAJ_RXN,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,21,P005_SIM.TRAJ_SPEC,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
PN003,21,PN003.TRAJ_EXFOR,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,21,PVAL_6MV.TRAJ_PDD,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,21,PVAL_10MV.TRAJ_PDD,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,21,PVAL_15MV.TRAJ_PDD,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,21,PVAL_16MV.TRAJ_PDD,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,21,PVAL_18MV.TRAJ_PDD,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
NVAL_MATHEW,21,NVAL_MATHEW.TRAJ_E,SUPPORT,valid,,Theiler-excluded entropy used as candidate; raw adjacency recorded,2.0,49.0,0,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,21,NVAL_ZAMORANO.SEQ_POS,SUPPORT,conditional_fail,NO_VALID_NN_ENTROPY_RESULTS,AtlasStructuralFail: no embeddings passed neighbor-support gates,2.0,5.0,0,measurement_position_index,measurement_position_index,identity,index
P001,25,P001.TRAJ_E,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,2.0,46.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,25,N001.TRAJ_DEPTH,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,25,N002.TRAJ_DEPTH,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,25,P002.SEQ_TVL,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,25,P003.TRAJ_BUILD,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
C001,25,C001.SEQ_LINES,SUPPORT,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,25,PN001.TRAJ_YIELD,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,25,P004.SEQ_MAT,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,25,N004.TRAJ_E,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,6.0,9122.0,0,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,25,E001.TRAJ_E,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,4.0,81.0,0,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,25,PN002.TRAJ_RXN,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,25,P005_SIM.TRAJ_SPEC,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
PN003,25,PN003.TRAJ_EXFOR,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,25,PVAL_6MV.TRAJ_PDD,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,25,PVAL_10MV.TRAJ_PDD,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,25,PVAL_15MV.TRAJ_PDD,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,25,PVAL_16MV.TRAJ_PDD,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,25,PVAL_18MV.TRAJ_PDD,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
NVAL_MATHEW,25,NVAL_MATHEW.TRAJ_E,SUPPORT,valid,,common lag selected in analysis-coordinate units within physical ensemble groups,2.0,49.0,0,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,25,NVAL_ZAMORANO.SEQ_POS,SUPPORT,conditional_fail,NO_MI_CAPABLE_CURVES,AtlasStructuralFail: no curves long enough/nondegenerate for MI delay estimation,2.0,5.0,0,measurement_position_index,measurement_position_index,identity,index
P001,28,P001.TRAJ_E,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,2.0,46.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N001,28,N001.TRAJ_DEPTH,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,40.0,4.0,0,shield_depth_cm,shield_depth_cm,identity,cm
N002,28,N002.TRAJ_DEPTH,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,51.0,5.0,0,shield_depth_cm,shield_depth_cm,identity,cm
P002,28,P002.SEQ_TVL,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,2.0,7.0,0,nominal_beam_MV,nominal_beam_MV,identity,MV
P003,28,P003.TRAJ_BUILD,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,5.0,15.0,0,penetration_MFP,penetration_MFP,identity,MFP
C001,28,C001.SEQ_LINES,SUPPORT,conditional_fail,INSUFFICIENT_UNIQUE_POINTS,AtlasStructuralFail: only 1 unique coordinate points,,,0,,,,
PN001,28,PN001.TRAJ_YIELD,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,1.0,3.0,0,incident_electron_energy_MeV,log(incident_electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P004,28,P004.SEQ_MAT,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,7.0,5.0,0,photon_energy_MeV,log(photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
N004,28,N004.TRAJ_E,SUPPORT,valid,,1 state group(s) with blocked held-out validation,6.0,9122.0,1,neutron_energy_eV,log(neutron_energy_eV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
E001,28,E001.TRAJ_E,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,4.0,81.0,0,electron_energy_MeV,log(electron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PN002,28,PN002.TRAJ_RXN,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,64.0,261.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
P005_SIM,28,P005_SIM.TRAJ_SPEC,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,64.0,16.0,0,depth_MFP,depth_MFP,identity,MFP
PN003,28,PN003.TRAJ_EXFOR,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,64.0,305.0,0,incident_photon_energy_MeV,log(incident_photon_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
PVAL_6MV,28,PVAL_6MV.TRAJ_PDD,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_10MV,28,PVAL_10MV.TRAJ_PDD,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,1.0,71.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_15MV,28,PVAL_15MV.TRAJ_PDD,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,1.0,70.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_16MV,28,PVAL_16MV.TRAJ_PDD,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,1.0,31.0,0,water_depth_cm,water_depth_cm,identity,cm
PVAL_18MV,28,PVAL_18MV.TRAJ_PDD,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,1.0,81.0,0,water_depth_cm,water_depth_cm,identity,cm
NVAL_MATHEW,28,NVAL_MATHEW.TRAJ_E,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,2.0,49.0,0,neutron_energy_MeV,log(neutron_energy_MeV/E_ref),ln(x / dataset_min_positive_energy),dimensionless_log_energy
NVAL_ZAMORANO,28,NVAL_ZAMORANO.SEQ_POS,SUPPORT,conditional_fail,INSUFFICIENT_MULTICHANNEL_STATE,AtlasStructuralFail: need >=30 ordered states and >=3 nondegenerate channels in a comparable state group,2.0,5.0,0,measurement_position_index,measurement_position_index,identity,index
